Ref,Val,Package,MidX,MidY,Rot,Side
"C1","100u","C_1210",129.750000,-76.650000,0.000000,top
"C2","100u","C_1210",137.950000,-78.150000,180.000000,top
"C3","10u","C_0805",129.600000,-73.250000,270.000000,top
"C4","2u2","C_0603",131.300000,-73.150000,270.000000,top
"C5","10u","C_0805",138.500000,-75.050000,180.000000,top
"C6","10u","C_0805",152.654000,-82.931000,0.000000,top
"C7","100n","C_0603",133.950000,-70.000000,90.000000,top
"C8","2u2","C_0603",119.600000,-97.900000,270.000000,top
"C9","2u2","C_0603",120.350000,-92.350000,0.000000,top
"C10","33p","C_0603",127.500000,-68.800000,90.000000,top
"C11","100u","C_1210",143.200000,-78.150000,0.000000,top
"C12","2u2","C_0603",123.450000,-74.550000,180.000000,top
"C13","2u2","C_0603",110.500000,-106.300000,90.000000,top
"C14","2u2","C_0603",115.300000,-106.300000,90.000000,top
"C15","100n","C_0603",149.479000,-83.466000,0.000000,top
"C16","22p","C_0603",118.757000,-116.586000,180.000000,top
"C17","22p","C_0603",115.189000,-119.380000,90.000000,top
"C18","2u2","C_0603",125.932500,-109.347000,180.000000,top
"C19","2u2","C_0603",119.761000,-114.046000,90.000000,top
"C20","2u2","C_0603",152.654000,-84.963000,0.000000,top
"C21","2u2","C_0603",118.750000,-81.150000,270.000000,top
"C22","2u2","C_0603",106.500000,-79.150000,90.000000,top
"C23","2u2","C_0603",123.250000,-68.800000,90.000000,top
"C24","2u2","C_0603",138.600000,-68.550000,180.000000,top
"C25","100u","C_1210",143.200000,-74.350000,0.000000,top
"C26","100u","C_1210",143.200000,-70.550000,0.000000,top
"C27","100u","C_1210",148.400000,-70.550000,180.000000,top
"C28","100u","C_1210",145.350000,-111.700000,270.000000,top
"C29","2u2","C_0603",130.950000,-81.400000,180.000000,top
"C30","2u2","C_0603",145.700000,-83.450000,180.000000,top
"C31","10u","C_0805",127.500000,-84.650000,180.000000,top
"C32","2u2","C_0603",121.500000,-107.650000,180.000000,top
"C33","2u2","C_0603",115.950000,-81.150000,90.000000,top
"D2","SS54","D_SMA",123.900000,-102.750000,270.000000,top
"D3","Green","LED_0805",130.850000,-120.200000,180.000000,top
"D4","Yellow","LED_0805",135.650000,-120.200000,180.000000,top
"D5","Red","LED_0805",140.450000,-120.200000,0.000000,top
"D6","5V6","D_MiniMELF",119.800000,-102.300000,90.000000,top
"D7","1N5819","D_SOD-123",133.500000,-73.850000,270.000000,top
"F1","1A","BelFuse_1206",119.600000,-89.250000,90.000000,top
"F2","1A","BelFuse_1206",117.200000,-105.550000,90.000000,top
"FB1","GZ2012D101TF","Murata_BLM21",119.600000,-94.750000,90.000000,top
"FB2","GZ2012D101TF","Murata_BLM21",112.900000,-107.050000,0.000000,top
"FID1","Fiducial","Fiducial",152.200000,-114.400000,0.000000,top
"FID2","Fiducial","Fiducial",106.150000,-82.850000,0.000000,top
"FID3","Fiducial","Fiducial",118.550000,-109.150000,0.000000,top
"FID4","Fiducial","Fiducial",148.400000,-67.400000,0.000000,top
"FID5","Fiducial","Fiducial",105.700000,-101.500000,0.000000,top
"J2","microUSB","USB_Micro-B_ShouHan_MicroXNJ",106.900000,-108.375000,180.000000,top
"L1","4u7","Sunlord_MWSA0402",137.500000,-71.650000,0.000000,top
"Q1","AO3401","SOT-23",124.150000,-93.100000,0.000000,top
"Q2","MMBT3904","SOT-23",124.050000,-81.250000,90.000000,top
"Q3","MMBT3904","SOT-23",109.950000,-80.750000,90.000000,top
"Q4","MMBT3904","SOT-23",134.200000,-116.950000,180.000000,top
"Q5","MMBT3904","SOT-23",134.200000,-113.350000,180.000000,top
"Q6","AO3401","SOT-23",124.150000,-96.700000,0.000000,top
"R1","120k","R_0603",126.100000,-68.800000,90.000000,top
"R2","1k","R_0603",126.900000,-71.650000,90.000000,top
"R3","39k","R_0603",128.950000,-68.800000,270.000000,top
"R4","1k","R_0603",112.900000,-104.600000,180.000000,top
"R5","10k","R_0603",131.500000,-115.150000,270.000000,top
"R6","1k","R_0603",130.937000,-111.633000,90.000000,top
"R7","DNP","R_0603",129.413000,-111.633000,270.000000,top
"R8","10k","R_0603",149.479000,-84.963000,180.000000,top
"R9","10k","R_0603",130.000000,-115.150000,90.000000,top
"R10","100","R_0805",140.450000,-114.100000,0.000000,top
"R11","100","R_0805",140.450000,-116.100000,0.000000,top
"R12","100","R_0805",140.450000,-118.100000,0.000000,top
"R13","1k","R_0603",119.950000,-72.750000,0.000000,top
"R14","27","R_0603",132.000000,-83.550000,180.000000,top
"R15","1M","R_0603",120.100000,-83.950000,180.000000,top
"R16","27","R_0603",120.750000,-78.100000,180.000000,top
"R17","1k","R_0603",145.200000,-114.800000,180.000000,top
"R18","1k","R_0603",125.400000,-71.650000,270.000000,top
"R19","27","R_0603",123.250000,-83.950000,0.000000,top
"R20","1k","R_0603",124.200000,-78.100000,0.000000,top
"R21","22k","R_0603",136.900000,-114.150000,90.000000,top
"R22","22k","R_0603",140.400000,-84.950000,180.000000,top
"R23","DNP","R_0603",133.450000,-110.850000,0.000000,top
"R24","DNP","R_0603",134.800000,-84.950000,0.000000,top
"R25","1k","R_0603",126.550000,-81.000000,270.000000,top
"R26","22k","R_0603",132.000000,-84.950000,180.000000,top
"R27","1k","R_0603",139.050000,-110.850000,0.000000,top
"R28","DNP","R_0603",136.250000,-110.850000,0.000000,top
"R29","DNP","R_0603",137.600000,-84.950000,0.000000,top
"R30","27","R_0603",110.750000,-83.450000,180.000000,top
"R31","1k","R_0603",112.450000,-80.500000,90.000000,top
"R32","1k","R_0603",110.100000,-77.650000,180.000000,top
"R33","DNP","R_0603",134.400000,-78.750000,90.000000,top
"R34","27","R_0603",132.900000,-78.750000,90.000000,top
"R35","1k","R_0603",123.250000,-90.600000,180.000000,top
"SW1","SW_Push","XKB_TS-1187A",147.650000,-118.500000,90.000000,top
"SW2","SW_Push","XKB_TS-1187A",117.500000,-69.050000,270.000000,top
"U1","ESP-WROOM-32","ESP32-WROVER_WROOM-32_WROOM",148.018500,-97.561400,180.000000,top
"U2","CH340G","SOIC-16_3.9mm",124.587000,-115.443000,270.000000,top
"U3","MP2451DT","SOT-23-6",131.450000,-69.400000,270.000000,top
"U4","74LVC1G14GW","SOT-353",120.900000,-81.250000,270.000000,top
"Y1","12M","Crystal_SMD_3225-4Pin_3.2x2.5mm",118.364000,-119.253000,0.000000,top
